8	8	0.021
8	9	0.107
8	10	0.021
8	11	0.143
8	12	0.003
8	13	0.003
8	14	0.002
8	15	0.003
8	16	0.003
8	17	0.003
8	18	0.002
8	19	0.002
8	20	0.002
8	21	0.002
8	22	0.002
8	23	0.198
8	24	0.216
8	25	0.216
8	26	0.219
9	8	0.108
9	9	0.182
9	10	0.275
9	11	0.307
9	12	0.29
9	13	0.252
9	14	-0.202
9	15	0.003
9	16	0.008
9	17	0.003
9	18	-0.204
9	19	0.002
9	20	0.002
9	21	0.002
9	22	0.219
9	23	0.218
9	24	0.271
9	25	0.271
9	26	0.253
9	27	0.216
9	28	-0.245
9	29	0.126
10	8	0.109
10	9	0.294
10	10	0.335
10	11	0.327
10	12	0.326
10	13	0.307
10	14	-0.215
10	15	0
10	16	0
10	17	0
10	18	-0.204
10	19	0
10	20	0
10	21	0.326
10	22	0.238
10	23	0.272
10	24	0.308
10	25	0.307
10	26	0.309
10	27	0.369
10	28	-0.292
10	29	0.216
10	30	0.234
10	31	0.439
11	8	0.198
11	9	0.307
11	10	0.327
11	11	0.364
11	12	0.366
11	13	0.328
11	14	0.291
11	15	0.294
11	16	0.317
11	17	0.257
11	18	-0.222
11	19	0
11	20	0
11	21	0.383
11	22	0.403
11	23	0.289
11	24	0.326
11	25	0.328
11	26	0.331
11	27	0.371
11	28	0.434
11	29	0.216
11	30	0.253
11	31	0.44
11	32	0.411
11	33	0.439
12	8	0.147
12	9	0.308
12	10	0.326
12	11	0.367
12	12	0.374
12	13	0.333
12	14	-0.31
12	15	0
12	16	0.323
12	17	0
12	18	-0.222
12	19	0
12	20	0
12	21	0
12	22	0.406
12	23	0.347
12	24	0.328
12	25	0.33
12	26	0.314
12	27	0.377
12	28	-0.29
12	29	0.335
12	30	0.265
12	31	0.296
12	32	0.175
12	33	0.421
12	34	0.311
12	35	0.463
13	8	0.165
13	9	0.271
13	10	0.308
13	11	0.329
13	12	0.334
13	13	0.313
13	14	-0.448
13	15	-0.254
13	16	0
13	17	-0.207
13	18	-0.239
13	19	0
13	20	0
13	21	0
13	22	0.216
13	23	0.234
13	24	0.271
13	25	0.273
13	26	0.256
13	27	0.189
13	28	-0.319
13	29	-0.26
13	30	0.217
13	31	0.227
13	32	0.082
13	33	-0.308
13	34	-0.405
13	35	-0.406
13	36	-0.423
13	37	0.482
13	38	0.487
14	8	0
14	9	-0.215
14	10	-0.242
14	11	-0.292
14	12	-0.353
14	13	-0.448
14	14	-0.478
14	15	-0.3
14	16	0
14	17	0
14	18	0
14	19	0
14	20	0
14	21	0
14	22	0
14	23	0.216
14	24	0.234
14	25	0.253
14	26	-0.592
14	27	-0.287
14	28	-0.321
14	29	-0.282
14	30	-0.263
14	31	-0.255
14	32	0.023
14	33	-0.307
14	34	-0.398
14	35	-0.406
14	36	-0.422
14	37	-0.447
14	38	0.49
14	39	0.505
14	40	0.531
15	8	0
15	9	0
15	10	0
15	11	0.314
15	12	0
15	13	-0.271
15	14	-0.318
15	15	0
15	16	0
15	17	0
15	18	0
15	19	0
15	20	0
15	21	0
15	22	0
15	23	0.216
15	24	0.235
15	25	0.245
15	26	0.239
15	27	0.163
15	28	-0.274
15	29	0.153
15	30	0.199
15	31	0.199
